label	text
0	很棒的飛鏢吧！最低消費為新台幣100元，每次玩飛鏢10次為新台幣10元。我希望我早點知道這個酒吧，這樣我就可以在這裡度過許多孤獨的夜晚。
0	很好！
0	漂亮的古老街區，擁有現代藝術。
1	由當地里長發起及命名 號召當地榮民/居民 甚至是長榮美工科/永仁高中等
0	為老舊眷村重新賦予新生命 由於原本眷村居住著一些榮民 少不了軍人色彩
1	整區還彩繪不少 很適合走走看看 但部份區域有小黑蚊需注意 …
0	近幾年各縣市鄉鎮，提倡推廣已彩繪帶入社區，讓社區多些美感借此帶動繁榮發展，每個縣市鄉鎮畫風有所不同，像似田尾海豐崙社區，在當地派出所附近，以烏龍派出所為題材，當年一時興起，各大媒體、部落客、網紅爭相報導也帶動了當地繁榮發展，不管在哪裡都有當地的特色與人文風情故事。
0	簡簡單單的一條小路
1	路口就在醫院旁邊停車場隔壁
0	很快就會走到底了 …
0	小時侯住在眷區這附近，對於各省美食及口音好像很近又很遙遠的記憶，因為第一代的榮民伯伯們，幾乎都已凋零了，現在，各省好吃的零嘴，已經吃不到了，這是我這個小蕃薯最感概的，有遇到這個交錯的時代，也是美好。
0	一個小小的彩繪村卻有歷史意義的回味，彩繪村不大走一圈大概10分鐘就走完了，不過建議慢慢走細細品嚐，來到台南不妨來走走也別有風味唷🧐🧐🧐 …
0	台南永康區的復興里彩虹眷村，又叫做復興老兵文化園區，旁邊就是高雄榮民總醫院的台南分院，停車相當方便，去的時候我就把車停在這邊，停車場旁就是彩繪眷村的入口，這個眷村不大大概10幾分鐘到20分鐘可以整個逛完，裡頭我比較覺得有趣的是裡面除了彩繪的壁畫外，還有關於以前當兵的老照片，讓我覺得很有趣，這次會來也是閒暇過來走走，還發現這邊有很多貓咪，很多都不怕生應該是這邊的人會餵養，整個眷村巷弄不大，但蠻多彩繪都算新奇有趣，很多都是以軍旅有關的題材，連水表都改裝成阿兵哥的模樣，當地的居民看見遊客也是習以為常，還可以跟他們聊上幾句，但遊客在我們去的時候沒有非常的多，都是像我們一樣零零散散的，在悠閒的午後，一邊散著步一邊看著彩繪壁畫，也算是非常的愜意。
0	熱情的居民指引你如何逛小小的村落，與其說是彩繪村，不如說活著的彩繪村，5、60年代台灣社會的縮影真實的存在， …
0	這裡是一個眷村，有彩繪牆壁很有趣。旁邊是榮民總醫院台南分院停車場，方便停車。
1	在臺南榮總醫院旁的小路有個小路口處（不要騎太快喔）
0	歷史軍人的特色文化用彩繪方式當作紀念，鄉村古宅也別有一番濃情味，重點是還有貓咪可以摸摸，超親人🐈❤ …
0	台南彩繪村不同於新竹和台中
0	這裡擁有著幾種不同的畫風
0	想法故事各出自不同人之手 …
