index	label	text
0	1	育教於樂的地方,體驗木造小物很特別
1	0	..............這是景色嗎
2	1	路過
3	0	逼悠遊卡的聲音太小。當時我去玩宇宙迴旋，我以為我沒逼到所以又逼了一次，當時工作人員說不會重複扣款，隔天上程式看，同一個時間扣了兩次款⋯啊這⋯
4	0	這個負評  是評給6/25  在三樓  11號設施後面的
5	0	台江自行車道怎麼走？我就問！
6	1	可看風景，稍做停留即可,搭船間隔20分鐘，剛好逛逛吃茶葉蛋，然後搭下班船
7	0	排ㄧ個設施要1到2小時，難玩到爆，餐廳少，餐點一下就都賣完，園區動線非常差，白白浪費錢來玩
8	1	380元看花也可在場吃燒烤物超所值
9	1	適合親子共遊的地方
10	0	以前甚麼都沒有，單純看風景，很放鬆,,現在蓋了停車場、廁所，建設多了，攤販也多了起來，清幽感不見了，變成戶外菜市場，連碉堡都有年輕人爬上去坐，台灣旅遊尿性就是這樣，哪裡熱門哪裡淪陷 …
11	0	到處垃圾
12	1	有服務人員導覽以及參觀工廠，還有自由練習試吹體驗；很棒的行程
13	1	很棒的一個地方，裡面畫作展覽及野生動物都讓人大開眼界，外面草坪很大曬太陽很讚👍 …
14	0	煙囪滑梯女工作人員態度極差，剛到場還沒清楚遊戲規則跟裝備穿法，就不斷反覆說「戴在身上！不是拿在手上！」⋯
15	0	價格不公道，不貼價錢舊書賣的比新書貴總之是黑店
16	1	大多數當地祖父母使用的地方
17	1	兩天一夜（晚上入住校友會館）,第一天走了青蛙石步道（路小較陡），,在大草原休憩，享受森林芬多精（不要錯過中興大學純鮮奶冰淇淋） …
18	1	雪見國家公園,騎很遠很遠很遠的車才到達雪見國家公園,驚了 …
19	0	入口處看起來沒有什麼好逛的
20	1	館藏豐富 隨意逛逛都花了2-3小時 舒服 …
21	1	創意好玩，又可親子同樂，增廣見聞的好地方
22	1	隱藏的打卡景點,舒服又自在
23	1	這裡真的是太壯觀了，彷彿置身國外？園區好大，大型的貯木池還有以前的林業文化跟設備，看了讓人瞠目結舌
24	1	很值得來這邊走走住一晚，至於到老街吃東西就不用太期待好吃，也不用期待看到台灣人特有的人情味了！
25	0	沒有特色，東西太貴
26	1	台中市民門票50元。,平常日有些攤位休息。,雖然天氣頗熱的，但是裡面意外的涼快。 …
27	1	重點不在老街上的店家，如果你願意就走入週邊小巷探險吧！
28	0	不好玩
29	0	船也有點舊舊的
30	1	適合來走走看看，剛好遇到有導覽人員解說真的很不錯👍 …
31	0	門票太貴了。
32	1	好
33	1	多年前來過一次，蠻喜歡的，這次帶著孩子跟家人一起來體驗，人很多，排隊等了半個多小時，但是景色好，也算值得了。
34	0	什麼都沒有超騙錢的還要50nt
35	1	帶孩子去，可以知道滿多議政歷史更可以充分瞭解，但導覽人員太過熱情，一直解說，導致遊客一個展間未看完就要帶到別的展間，雖導覽人員說稍後可回來看，但興致已受影響，對一些遊客靜靜看展是種享受。但不是怪罪辛苦的導覽人員，假如詢問遊客是否需要解說導覽，依遊客需要這樣會更好，也不用造成導覽人員的工作負擔。
36	0	很棒的古蹟林將軍的府邸，現在已商業化但又缺乏維護，很多雕刻字畫都已斑駁看不清楚了，很可惜...,現在有文創進駐，假日常有手作DIY可以報名參加！
37	1	生態很好，很悠閒
38	0	不能苛求,填飽肚子而已
39	0	設備老舊，門不易鎖，盥洗沒有熱水，溫泉有大量雜質，衛生品管不良
40	0	人潮眾多，每項都需要排約1hr，還有一堆素養低落的，代排、解壓縮、插隊，缺乏人員管理。
41	0	覺得園區動線很差 大家都在迷路 到處的室內冷氣都不涼 極限體驗的飛天宅急便工作人員也十分差勁 對遊客的態度 解說的耐性都是0分 根本懶得解釋就叫大家自己看圖🤣只有表演覺得很用心 總之門票跟園區內容不成比例 除了不會回訪以外也會跟朋友說不用來的那種 小孩跟老人都不適合 糖廠內階梯很陡又多 跟我一樣有公主病怕熱又不耐走的真的不要來 …
42	0	管理人員態度非常差！！
43	1	美麗，四季都有不同風景，避暑勝地，值得一遊。
44	1	是蠻壯觀的啦
45	1	一下船便聽到原住民的優美歌聲，心情隨之放鬆，盡情享受美景。由於腿力不行，無法上玄光寺，便更改路線。第一站阿婆茶葉蛋美食，第二站欣賞湖面及四周景觀。在藍天白雲的襯托下，日月潭湖面粼光點點煞是美景。
46	0	這𥚃的工作人員對小孩非常兇，還不聽解釋，令我非常失望 …
47	0	安排了台南兩天一夜，來十鼓整個大扣分。
48	0	附近有很多隱藏版美食可以嘗嘗看!!只是交通有點紊亂，從路口出來要看左右來車喔
49	1	晚上去可坐著橋段上地板聊天看風景
50	0	另外最近餐廳維修不營業、 室內球池維修暫停......
51	1	每次到磺溪書院都是半夜來的；主要喜歡這裡充滿鄉下地方的寧靜；雖然地方不大卻讓人有個私人的空間感覺，半夜來這裡放空是不錯的地方。
52	1	旁邊的海岸可以下去玩水，還可以挖蛤蜊，還有商家搭配水上烤蚵的活動可以體驗，傍晚時順便看夕陽
53	1	2023/04/09參加下午兩點的免費導覽，只有我們兩個人參加，解說人員還是很詳細解釋客家的歷史，讓人收獲很多
54	0	不喜歡
55	1	散步的好地方 很寬闊
56	1	天氣好的時候風景非常漂亮，是喜愛風力發電機的朋友的聖地，但天冷的時候風超大！新的廁所蓋好了，非常方便～
57	0	蠻多小店值得來走走,巷道非常小，建議不要開車來，交通不太方便
58	0	預約系統太爛
59	1	走馬看花的人，十分鐘就走完了，
